strategy_hash,strategy_type,original_sharpe,original_return,optimal_stop,optimal_target,optimal_sharpe,optimal_return,sharpe_improvement,return_improvement,num_trades,period,std_dev
a08c8bbd5d2c,bollinger_bands,-2.263166087602831,-0.13005628872034225,0.075,0.1,10.736152267410175,0.39765289832156747,12.999318355013006,0.5277091870419097,1687,20,1.5
49cbed903ac4,bollinger_bands,-0.8998329721068694,-0.03399090448755482,0.075,0.1,11.267697417215116,0.30431341300107495,12.167530389321985,0.33830431748862977,938,20,2.0
d6203f75d335,bollinger_bands,-1.4121076497805751,-0.03505901700745784,0.075,0.1,7.477010313867387,0.1282772930606788,8.889117963647962,0.16333631006813665,391,20,2.5
7d826e7e1670,bollinger_bands,-0.3706333172101839,-0.006434306300638237,0.05,0.1,3.197016928502305,0.03295932202633867,3.567650245712489,0.039393628326976904,166,20,3.0
af0897a3cbf3,bollinger_bands,-2.872126705686658,-0.2185813265968104,0.075,0.1,8.170407041392371,0.32695801908425204,11.04253374707903,0.5455393456810624,1924,21,1.0
e1a5b15c1c4d,bollinger_bands,-1.6938153662775908,-0.10246538265433636,0.075,0.1,10.484996926826163,0.3839688907712433,12.178812293103753,0.48643427342557966,1655,21,1.5
6b16474082ff,bollinger_bands,-1.4329236068875377,-0.05691632506952771,0.075,0.1,10.671173900351274,0.2839200087234177,12.104097507238812,0.3408363337929454,915,21,2.0
4daf7ecf9645,bollinger_bands,-1.482154281327749,-0.03800204414995734,0.075,0.1,7.3754333762472495,0.12570097117965706,8.857587657575,0.1637030153296144,386,21,2.5
66b838920d84,bollinger_bands,-0.12048191967180386,-0.0022380652054786454,0.05,0.1,3.917294497725837,0.04156671118803623,4.037776417397641,0.04380477639351488,176,21,3.0
89ba5ecaeb7e,bollinger_bands,-2.6168020343001577,-0.20192317693035156,0.075,0.1,8.11184792202879,0.32230990999681786,10.728649956328947,0.5242330869271694,1880,22,1.0
fdd85de572ee,bollinger_bands,-1.7548926094489985,-0.10645731165231676,0.075,0.1,9.84557785740947,0.35240371708205687,11.600470466858468,0.4588610287343736,1600,22,1.5
9b3b4bc11856,bollinger_bands,-1.394181157084776,-0.05652497427441883,0.075,0.1,10.526177510846516,0.2754926023239652,11.920358667931293,0.33201757659838405,897,22,2.0
001ba0423a6e,bollinger_bands,-1.3856650938337505,-0.03587175011520927,0.075,0.1,7.39814889648221,0.12719186386529202,8.783813990315961,0.1630636139805013,390,22,2.5
e5cc63fb508c,bollinger_bands,-0.2516857420196386,-0.004729258471472542,0.075,0.1,4.514075592767997,0.05423047028140182,4.765761334787636,0.05895972875287436,187,22,3.0
e8fc96c15ce2,bollinger_bands,-2.79064298106256,-0.21330402587017028,0.075,0.1,8.190979917731848,0.3203724942197137,10.98162289879441,0.533676520089884,1831,23,1.0
ede5e6f58198,bollinger_bands,-1.9675456247872183,-0.11847000764230853,0.075,0.1,10.538907125589981,0.3722968318955209,12.5064527503772,0.4907668395378294,1552,23,1.5
046228e4e54b,bollinger_bands,-1.4401397430100988,-0.05911535459777961,0.075,0.1,10.30041678272914,0.26830167755450796,11.740556525739239,0.32741703215228757,875,23,2.0
93cba16200b6,bollinger_bands,-1.2045065619101019,-0.03472696596605451,0.075,0.1,7.824132413381814,0.1339041699333119,9.028638975291916,0.1686311358993664,395,23,2.5
1b485e663a59,bollinger_bands,-0.6437317627503212,-0.012226451722633147,0.075,0.1,4.103742068252681,0.04856625924301117,4.747473831003003,0.060792710965644314,181,23,3.0
c249cef528fb,bollinger_bands,-2.4390579064132805,-0.1880713244504948,0.075,0.1,8.26710980075941,0.3207301062904906,10.70616770717269,0.5088014307409854,1789,24,1.0
b3bc478985c8,bollinger_bands,-2.0330376891773128,-0.1216189563158857,0.075,0.1,9.818365546325673,0.3406038971838241,11.851403235502985,0.4622228534997098,1498,24,1.5
cc91a898fba5,bollinger_bands,-1.3066732497630216,-0.05353656625062431,0.075,0.1,10.626074208744523,0.2745346526849084,11.932747458507544,0.3280712189355327,867,24,2.0
a0135f1061c2,bollinger_bands,-1.138535702385282,-0.033329056720105554,0.075,0.1,7.536681886863587,0.13165255735505044,8.675217589248868,0.164981614075156,401,24,2.5
2d276ef09977,bollinger_bands,-0.7536678508336042,-0.01438637859092684,0.075,0.1,4.320690256352671,0.05241095150543784,5.074358107186275,0.06679733009636468,190,24,3.0
b018a6fd2f3b,bollinger_bands,-2.1669247858600174,-0.16917009953908513,0.075,0.1,8.250799200818177,0.3170541508799338,10.417723986678194,0.48622425041901896,1764,25,1.0
