entry_time,exit_time,entry_idx,exit_idx,entry_price,exit_price,direction,pnl_pct,duration_bars,duration_minutes,workspace,strategy_file
2024-12-19 19:28:00+00:00,2024-12-19 19:48:00+00:00,72936,72956,589.05,588.81,long,-0.0407435701553364,20,20.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 19:48:00+00:00,2024-12-19 19:49:00+00:00,72956,72957,588.81,588.6,short,0.035665155143411745,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 19:49:00+00:00,2024-12-19 19:51:00+00:00,72957,72959,588.6,589.11,long,0.08664627930682822,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 19:51:00+00:00,2024-12-19 19:54:00+00:00,72959,72962,589.11,588.6899,short,0.07131096060159353,3,3.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 19:54:00+00:00,2024-12-19 20:14:00+00:00,72962,72982,588.6899,588.19,long,-0.08491737330637257,20,20.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 20:14:00+00:00,2024-12-19 20:31:00+00:00,72982,72999,588.19,588.47,short,-0.04760366548223749,17,17.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 20:31:00+00:00,2024-12-19 20:39:00+00:00,72999,73007,588.47,588.63,long,0.0271891515285347,8,8.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 20:39:00+00:00,2024-12-19 20:40:00+00:00,73007,73008,588.63,588.31,short,0.05436352207669504,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 20:40:00+00:00,2024-12-19 20:41:00+00:00,73008,73009,588.31,588.93,long,0.1053866158997815,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 20:41:00+00:00,2024-12-19 20:45:00+00:00,73009,73013,588.93,587.91,short,0.17319545616626456,4,4.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 20:45:00+00:00,2024-12-19 20:46:00+00:00,73013,73014,587.91,588.44,long,0.09014985286865106,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 20:46:00+00:00,2024-12-19 20:48:00+00:00,73014,73016,588.44,587.95,short,0.08327102168445534,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-19 20:48:00+00:00,2024-12-20 14:53:00+00:00,73016,73052,587.95,582.64,long,-0.9031380219406513,36,1085.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 14:53:00+00:00,2024-12-20 14:54:00+00:00,73052,73053,582.64,582.4,short,0.04119181655911182,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 14:54:00+00:00,2024-12-20 14:55:00+00:00,73053,73054,582.4,582.56,long,0.027472527472522008,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 14:55:00+00:00,2024-12-20 14:57:00+00:00,73054,73056,582.56,582.33,short,0.03948091183739092,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 14:57:00+00:00,2024-12-20 15:01:00+00:00,73056,73060,582.33,582.96,long,0.10818608005769845,4,4.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 15:01:00+00:00,2024-12-20 15:10:00+00:00,73060,73069,582.96,582.64,short,0.054892273912455394,9,9.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 15:10:00+00:00,2024-12-20 15:11:00+00:00,73069,73070,582.64,583.1905,long,0.09448372923246884,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 15:11:00+00:00,2024-12-20 15:47:00+00:00,73070,73106,583.1905,588.03,short,-0.8298317616627723,36,36.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 15:47:00+00:00,2024-12-20 15:48:00+00:00,73106,73107,588.03,588.29,long,0.04421543118548219,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 15:48:00+00:00,2024-12-20 15:49:00+00:00,73107,73108,588.29,588.215,short,0.012748814360252903,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 15:49:00+00:00,2024-12-20 15:50:00+00:00,73108,73109,588.215,588.52,long,0.051851788886708085,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 15:50:00+00:00,2024-12-20 15:59:00+00:00,73109,73118,588.52,588.26,short,0.04417861754910469,9,9.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 15:59:00+00:00,2024-12-20 16:00:00+00:00,73118,73119,588.26,588.5601,long,0.051014857375997535,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 16:00:00+00:00,2024-12-20 16:52:00+00:00,73119,73171,588.5601,593.27,short,-0.8002411308547669,52,52.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 16:52:00+00:00,2024-12-20 16:56:00+00:00,73171,73175,593.27,594.2,long,0.15675830566185103,4,4.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 16:56:00+00:00,2024-12-20 17:00:00+00:00,73175,73179,594.2,594.02,short,0.030292830696745817,4,4.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:00:00+00:00,2024-12-20 17:01:00+00:00,73179,73180,594.02,594.36,long,0.0572371300629662,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:01:00+00:00,2024-12-20 17:31:00+00:00,73180,73210,594.36,594.79,short,-0.07234672589002457,30,30.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:31:00+00:00,2024-12-20 17:37:00+00:00,73210,73216,594.79,594.93,long,0.02353771919500771,6,6.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:37:00+00:00,2024-12-20 17:38:00+00:00,73216,73217,594.93,594.88,short,0.008404350091599774,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:38:00+00:00,2024-12-20 17:39:00+00:00,73217,73218,594.88,595.01,long,0.02185314685314609,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:39:00+00:00,2024-12-20 17:42:00+00:00,73218,73221,595.01,594.68,short,0.055461252752061464,3,3.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:42:00+00:00,2024-12-20 17:49:00+00:00,73221,73228,594.68,595.0,long,0.053810452680441594,7,7.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:49:00+00:00,2024-12-20 17:58:00+00:00,73228,73237,595.0,594.77,short,0.038655462184877004,9,9.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 17:58:00+00:00,2024-12-20 18:35:00+00:00,73237,73274,594.77,592.81,long,-0.3295391495872415,37,37.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 18:35:00+00:00,2024-12-20 18:37:00+00:00,73274,73276,592.81,592.66,short,0.02530321688230247,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 18:37:00+00:00,2024-12-20 18:53:00+00:00,73276,73292,592.66,592.71,long,0.008436540343547433,16,16.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 18:53:00+00:00,2024-12-20 18:59:00+00:00,73292,73298,592.71,592.0699,short,0.10799547839585547,6,6.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
