entry_time,exit_time,direction,pnl_pct,bars_held,volatility,atr_pct,vwap_position,vwap_distance,trend,volume_ratio,hour
2025-03-06 15:03:00+00:00,2025-03-06 15:25:00+00:00,short,-0.2845710516265809,22,unknown,0,unknown,0,unknown,1.0,15
2025-03-06 19:41:00+00:00,2025-03-06 19:55:00+00:00,short,-0.17495669821718796,14,unknown,0,unknown,0,unknown,1.0,19
2025-03-06 20:23:00+00:00,2025-03-06 20:27:00+00:00,long,0.1481713666311668,4,unknown,0,unknown,0,unknown,1.0,20
2025-03-07 17:00:00+00:00,2025-03-07 17:06:00+00:00,short,0.16822709777427614,6,unknown,0,unknown,0,unknown,1.0,17
2025-03-07 19:43:00+00:00,2025-03-07 19:57:00+00:00,long,-0.02084165552217465,14,unknown,0,unknown,0,unknown,1.0,19
2025-03-07 20:36:00+00:00,2025-03-07 20:45:00+00:00,long,-0.03831171089699881,9,unknown,0,unknown,0,unknown,1.0,20
2025-03-10 15:19:00+00:00,2025-03-10 15:22:00+00:00,long,0.09571413378710592,3,unknown,0,unknown,0,unknown,1.0,15
2025-03-10 19:44:00+00:00,2025-03-10 19:47:00+00:00,long,0.22176517929000106,3,unknown,0,unknown,0,unknown,1.0,19
2025-03-11 17:42:00+00:00,2025-03-11 17:55:00+00:00,short,-0.14635203989448176,13,unknown,0,unknown,0,unknown,1.0,17
2025-03-11 19:02:00+00:00,2025-03-11 19:06:00+00:00,long,0.28577552332642586,4,unknown,0,unknown,0,unknown,1.0,19
2025-03-12 15:18:00+00:00,2025-03-12 15:21:00+00:00,short,0.14929668669281249,3,unknown,0,unknown,0,unknown,1.0,15
2025-03-12 15:24:00+00:00,2025-03-12 15:57:00+00:00,short,-0.33432191965490077,33,unknown,0,unknown,0,unknown,1.0,15
2025-03-12 17:44:00+00:00,2025-03-12 17:46:00+00:00,long,0.09186814433306267,2,unknown,0,unknown,0,unknown,1.0,17
2025-03-12 17:49:00+00:00,2025-03-12 18:10:00+00:00,long,-0.23376577026712475,21,unknown,0,unknown,0,unknown,1.0,17
2025-03-13 14:53:00+00:00,2025-03-13 15:05:00+00:00,short,0.11956398449939343,12,unknown,0,unknown,0,unknown,1.0,14
2025-03-13 16:09:00+00:00,2025-03-13 16:14:00+00:00,short,0.15347946986385974,5,unknown,0,unknown,0,unknown,1.0,16
2025-03-13 17:52:00+00:00,2025-03-13 18:18:00+00:00,short,-0.2015031042370108,26,unknown,0,unknown,0,unknown,1.0,17
2025-03-13 18:53:00+00:00,2025-03-13 18:55:00+00:00,long,0.13745455860809663,2,unknown,0,unknown,0,unknown,1.0,18
2025-03-13 19:59:00+00:00,2025-03-14 13:57:00+00:00,short,-1.2764954397925576,29,unknown,0,unknown,0,unknown,1.0,19
2025-03-14 14:00:00+00:00,2025-03-14 14:06:00+00:00,long,0.29457726366461934,6,unknown,0,unknown,0,unknown,1.0,14
2025-03-14 17:26:00+00:00,2025-03-14 17:31:00+00:00,long,0.04541528268786621,5,unknown,0,unknown,0,unknown,1.0,17
2025-03-14 18:57:00+00:00,2025-03-14 19:18:00+00:00,long,0.15585063275356248,21,unknown,0,unknown,0,unknown,1.0,18
2025-03-14 19:28:00+00:00,2025-03-14 19:32:00+00:00,long,0.06228755494652738,4,unknown,0,unknown,0,unknown,1.0,19
2025-03-14 19:49:00+00:00,2025-03-14 19:59:00+00:00,short,-0.04888758521994774,10,unknown,0,unknown,0,unknown,1.0,19
2025-03-17 14:02:00+00:00,2025-03-17 14:07:00+00:00,long,0.07791471879867728,5,unknown,0,unknown,0,unknown,1.0,14
2025-03-17 14:28:00+00:00,2025-03-17 14:38:00+00:00,long,0.01152253177103546,10,unknown,0,unknown,0,unknown,1.0,14
2025-03-17 15:17:00+00:00,2025-03-17 15:26:00+00:00,short,0.030167813775372476,9,unknown,0,unknown,0,unknown,1.0,15
