strategy_idx,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,exit_threshold
149,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,2.0,0.003,0.0015
150,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,35.0,2.0,0.003,0.002
151,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,35.0,2.0,0.003,0.0025
168,811,2.650326797385621,0.4636251541307028,-0.06917197329399671,-0.08200202677892077,-8.437039699230555e-05,2.19482120838471,35.0,3.0,0.004,0.001
169,577,1.8856209150326797,0.4800693240901213,-0.0043561224690231715,-0.0051973919515466704,-4.1418486282150385e-06,2.0779896013864816,35.0,3.0,0.004,0.0015
170,427,1.3954248366013071,0.45433255269320844,-0.021627464146617426,-0.0257607649287509,-4.85119143599571e-05,2.072599531615925,35.0,3.0,0.004,0.002
171,326,1.065359477124183,0.43558282208588955,-0.010717163018105436,-0.012778988666772406,-3.0324981863487484e-05,2.088957055214724,35.0,3.0,0.004,0.0025
188,825,2.696078431372549,0.46060606060606063,-0.07325991082129102,-0.08681219659606454,-8.79975435831069e-05,2.303030303030303,35.0,4.0,0.005,0.001
189,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,35.0,4.0,0.005,0.0015
190,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,35.0,4.0,0.005,0.002
191,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,35.0,4.0,0.005,0.0025
208,825,2.696078431372549,0.46060606060606063,-0.07325991082129102,-0.08681219659606454,-8.79975435831069e-05,2.303030303030303,40.0,3.0,0.002,0.001
