strategy_idx,sr_period,min_touches,entry_zone,exit_zone,min_range,total_trades,avg_return_bps,win_rate,long_trades,short_trades,long_return_bps,short_return_bps
119,10,3,0.001,0.003,0.005,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
120,10,3,0.0015,0.001,0.002,3270,-0.8121502844125688,0.4819571865443425,1918,1352,-0.7707988692796663,-0.8708130168274408
121,10,3,0.0015,0.001,0.003,2875,-0.8524295809937903,0.4768695652173913,1523,1352,-0.8361102078834189,-0.8708130168274408
122,10,3,0.0015,0.001,0.004,2088,-0.9482451271102884,0.47270114942528735,990,1098,-1.2085493296874235,-0.7135446165899205
123,10,3,0.0015,0.001,0.005,1503,-0.8398662714620632,0.46773120425815035,717,786,-0.9864075154266927,-0.7061893351737181
124,10,3,0.0015,0.0015,0.002,2085,-1.0865557097432144,0.46091127098321344,1111,974,-0.9865276917389553,-1.2006533770971488
125,10,3,0.0015,0.0015,0.003,2085,-1.0865557097432144,0.46091127098321344,1111,974,-0.9865276917389553,-1.2006533770971488
126,10,3,0.0015,0.0015,0.004,1749,-1.0182483024532123,0.45740423098913663,846,903,-0.9083784974511199,-1.121182804149525
127,10,3,0.0015,0.0015,0.005,1360,-0.959102203112833,0.45,658,702,-0.6934504182737676,-1.2081034487312163
128,10,3,0.0015,0.002,0.002,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
129,10,3,0.0015,0.002,0.003,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
130,10,3,0.0015,0.002,0.004,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
131,10,3,0.0015,0.002,0.005,1027,-0.5462398056539771,0.45569620253164556,497,530,-0.5127286943385767,-0.5776643760761547
132,10,3,0.0015,0.0025,0.002,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
133,10,3,0.0015,0.0025,0.003,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
134,10,3,0.0015,0.0025,0.004,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
135,10,3,0.0015,0.0025,0.005,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
136,10,3,0.0015,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
137,10,3,0.0015,0.003,0.003,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
138,10,3,0.0015,0.003,0.004,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
139,10,3,0.0015,0.003,0.005,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
140,10,3,0.002,0.001,0.002,3306,-0.7345762693725081,0.4897156684815487,2138,1168,-0.6440937842996961,-0.9002025990691449
141,10,3,0.002,0.001,0.003,2928,-0.7651927655540702,0.48633879781420764,1760,1168,-0.6755953305849751,-0.9002025990691449
142,10,3,0.002,0.001,0.004,2233,-0.9087264846552308,0.47917599641737574,1117,1116,-0.973003277334466,-0.8443920962836301
143,10,3,0.002,0.001,0.005,1550,-0.7923552692734342,0.4703225806451613,739,811,-0.8904691237919039,-0.702951892591376
144,10,3,0.002,0.0015,0.002,2225,-0.9605368020239927,0.4696629213483146,1310,915,-0.741963152613508,-1.2734673820543043
145,10,3,0.002,0.0015,0.003,2225,-0.9605368020239927,0.4696629213483146,1310,915,-0.741963152613508,-1.2734673820543043
146,10,3,0.002,0.0015,0.004,1915,-0.9665986076411458,0.46475195822454307,1000,915,-0.6858136790531059,-1.2734673820543043
147,10,3,0.002,0.0015,0.005,1416,-0.9033579500761482,0.4540960451977401,683,733,-0.6003698363370342,-1.185678388935377
148,10,3,0.002,0.002,0.002,1281,-0.49153393655267086,0.47384855581576896,659,622,-0.19755418506000624,-0.8030012295328409
149,10,3,0.002,0.002,0.003,1281,-0.49153393655267086,0.47384855581576896,659,622,-0.19755418506000624,-0.8030012295328409
150,10,3,0.002,0.002,0.004,1281,-0.49153393655267086,0.47384855581576896,659,622,-0.19755418506000624,-0.8030012295328409
