strategy,strategy_id,total_changes,long_signals,short_signals,neutral_signals,signal_frequency,trade_count,avg_trade_duration_bars,win_rate,avg_return_per_trade,total_bars,long_bias,base_param_id,filter_id
SPY_5m_compiled_strategy_803,803,1613,113,695,805,0.09709848302431977,805,7.496268656716418,0.7372986369268897,0.013103736175206151,16612,0.13985148514851486,3,32
SPY_5m_compiled_strategy_526,526,1647,343,485,819,0.09918101890882813,818,5.383863080684597,0.6618357487922706,0.0010119925463840268,16606,0.4142512077294686,1,21
SPY_5m_compiled_strategy_364,364,1745,404,472,869,0.1050319008065487,869,8.355990783410139,0.7405714285714285,-0.0016469733505648785,16614,0.4611872146118721,14,14
SPY_5m_compiled_strategy_1800,1800,1760,104,776,880,0.10599217103282144,879,2.9658703071672354,0.6727272727272727,0.007795998061308609,16605,0.11818181818181818,0,72
SPY_5m_compiled_strategy_1500,1500,1776,112,776,888,0.1069557362240289,887,2.9582863585118377,0.6734234234234234,0.007960505321251808,16605,0.12612612612612611,0,60
SPY_5m_compiled_strategy_1975,1975,1782,104,787,891,0.1073170731707317,890,2.9730337078651687,0.6745230078563412,0.007846642740719853,16605,0.11672278338945005,0,79
SPY_5m_compiled_strategy_1900,1900,1797,112,787,898,0.1082204155374887,897,2.9643255295429207,0.675194660734149,0.008351659241895022,16605,0.12458286985539488,0,76
SPY_5m_compiled_strategy_631,631,1848,442,485,921,0.11129177958446251,920,3.472826086956522,0.6709816612729234,0.0027372964376182747,16605,0.47680690399137,6,25
SPY_5m_compiled_strategy_1551,1551,1888,116,828,944,0.11369384559797663,943,4.185577942735949,0.6853813559322034,0.007232388115716653,16606,0.1228813559322034,1,62
SPY_5m_compiled_strategy_1351,1351,1922,128,834,960,0.1157412983259063,959,4.1657977059436915,0.6871101871101871,0.007520404336951775,16606,0.13305613305613306,1,54
SPY_5m_compiled_strategy_109,109,2069,472,571,1026,0.12454851914278835,1026,8.703414634146341,0.7591170825335892,0.0035250700933188014,16612,0.45254074784276127,9,4
SPY_5m_compiled_strategy_2656,2656,2107,463,594,1050,0.1268894911171334,1049,3.3164918970448047,0.6679280983916746,0.0014455781315050494,16605,0.4380321665089877,6,106
SPY_5m_compiled_strategy_104,104,2305,553,621,1131,0.1389307455849557,1131,9.999115044247787,0.7698209718670077,0.005100154915226499,16591,0.47103918228279384,4,4
SPY_5m_compiled_strategy_282,282,2337,518,655,1164,0.14073226544622425,1163,4.216680997420465,0.6760443307757886,0.0008614254251004872,16606,0.4416027280477408,7,11
SPY_5m_compiled_strategy_253,253,2826,667,763,1396,0.1701179869973513,1396,6.974910394265233,0.7368789363191043,0.006721959322260084,16612,0.4664335664335664,3,10
SPY_5m_compiled_strategy_327,327,3261,763,881,1617,0.19636297946649003,1616,4.996287128712871,0.7062043795620438,0.005403476024058006,16607,0.46411192214111924,2,13
