strategy_id,period,multiplier,filter_id,trades,total_return,annual_return,win_rate
1390,10,2.5,55,48,-0.18692399888043879,-0.22114951980220926,0.574468085106383
1400,10,1.0,56,897,7.415825013682631,8.773652128863958,0.6752232142857143
1410,10,2.0,56,160,0.964080098589014,1.1406018067813688,0.5849056603773585
1420,10,3.0,56,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
1430,10,1.5,57,420,1.7607398893234976,2.0831288831432926,0.6348448687350835
1440,10,2.5,57,48,-0.18692399888043879,-0.22114951980220926,0.574468085106383
1450,10,1.0,58,897,7.415825013682631,8.773652128863958,0.6752232142857143
1460,10,2.0,58,160,0.964080098589014,1.1406018067813688,0.5849056603773585
1470,10,3.0,58,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
1480,10,1.5,59,411,1.7259871220164056,2.0420129330898322,0.6292682926829268
1490,10,2.5,59,47,-0.13412878564644226,-0.15868757738452324,0.5869565217391305
1500,10,1.0,60,887,7.182752131826686,8.497903930611855,0.6738148984198645
1510,10,2.0,60,157,0.7196497832808172,0.8514166450082907,0.5897435897435898
1520,10,3.0,60,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
1530,10,1.5,61,411,2.221661365019297,2.6284444318538163,0.6292682926829268
1540,10,2.5,61,47,0.00932948885637155,0.011037705125848032,0.6086956521739131
1550,10,1.0,62,884,6.965511414908862,8.240886744399218,0.6727066817667045
1560,10,2.0,62,158,0.8555747539049524,1.0122292863100846,0.5796178343949044
1570,10,3.0,62,18,1.3232953766210853,1.565588896284101,0.7058823529411765
1580,10,1.5,63,407,2.0474722687600693,2.4223615574062793,0.6305418719211823
1590,10,2.5,63,47,0.00932948885637155,0.011037705125848032,0.6086956521739131
1600,10,1.0,64,884,8.181533093843111,9.679560280039738,0.6761041902604756
1610,10,2.0,64,157,1.4322387102439902,1.6944796008520449,0.5897435897435898
1620,10,3.0,64,17,1.226969254903398,1.4516255973504988,0.6875
1630,10,1.5,65,404,2.1633038038564583,2.5594016834358095,0.6327543424317618
1640,10,2.5,65,46,-0.08699663286131597,-0.10292559380775411,0.6
1650,10,1.0,66,873,7.638485884707522,9.037081891766645,0.6743119266055045
1660,10,2.0,66,154,1.1878083949357925,1.405294439078966,0.5947712418300654
1670,10,3.0,66,17,1.226969254903398,1.4516255973504988,0.6875
1680,10,1.5,67,414,2.1945527516899497,2.596372269605011,0.6319612590799032
1690,10,2.5,67,47,-0.13412878564644226,-0.15868757738452324,0.5869565217391305
1700,10,1.0,68,891,6.863987518949244,8.120773966080797,0.6730337078651686
1710,10,2.0,68,159,0.6201151204776969,0.7336573256355851,0.5822784810126582
1720,10,3.0,68,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
1730,10,1.5,69,410,2.0203636554307214,2.390289395157473,0.6332518337408313
1740,10,2.5,69,47,-0.13412878564644226,-0.15868757738452324,0.5869565217391305
1750,10,1.0,70,890,7.5173489096422434,8.893764907182373,0.6749156355455568
1760,10,2.0,70,159,1.1995397320162715,1.4191737674558706,0.5822784810126582
1770,10,3.0,70,18,1.3232953766210853,1.565588896284101,0.7058823529411765
1780,10,1.5,71,408,1.7530957353457548,2.0740850953386394,0.6265356265356266
1790,10,2.5,71,47,0.00932948885637155,0.011037705125848032,0.6086956521739131
1800,10,1.0,72,879,6.974301700506655,8.251286518909282,0.673120728929385
1810,10,2.0,72,156,0.9551094167080729,1.1299886056827906,0.5870967741935483
1820,10,3.0,72,18,1.3232953766210853,1.565588896284101,0.7058823529411765
1830,10,1.5,73,407,2.631869433530005,3.1137610199509917,0.6354679802955665
1840,10,2.5,73,46,-0.08699663286131597,-0.10292559380775411,0.6
