strategy_id,strategy_name,strategy_type,current_regime,trading_days,avg_daily_return_pct,daily_volatility_pct,annualized_sharpe_ratio,total_return_pct,win_days_pct
aroon_oscillator_aroon_oscillator_grid_30_60_000,aroon_oscillator_grid_30_60,aroon_oscillator,low_vol_bearish,205,-0.0142,0.3942,-0.574,-2.92,51.7
aroon_oscillator_aroon_oscillator_grid_30_60_000,aroon_oscillator_grid_30_60,aroon_oscillator,neutral,205,0.0141,0.1715,1.306,2.89,46.8
aroon_oscillator_aroon_oscillator_grid_30_60_000,aroon_oscillator_grid_30_60,aroon_oscillator,low_vol_bullish,205,0.0332,0.3689,1.429,6.81,59.0
atr_channel_breakout_atr_channel_breakout_grid_14_10_1.5_000,atr_channel_breakout_grid_14_10_1.5,atr_channel_breakout,low_vol_bullish,205,0.0163,0.1726,1.504,3.35,53.7
atr_channel_breakout_atr_channel_breakout_grid_14_10_1.5_000,atr_channel_breakout_grid_14_10_1.5,atr_channel_breakout,low_vol_bearish,205,-0.019,0.2458,-1.227,-3.9,50.7
atr_channel_breakout_atr_channel_breakout_grid_14_10_1.5_000,atr_channel_breakout_grid_14_10_1.5,atr_channel_breakout,neutral,205,-0.0015,0.0183,-1.319,-0.31,15.6
atr_channel_breakout_atr_channel_breakout_grid_14_10_2.0_000,atr_channel_breakout_grid_14_10_2.0,atr_channel_breakout,low_vol_bullish,205,0.0069,0.0993,1.102,1.41,51.2
atr_channel_breakout_atr_channel_breakout_grid_14_10_2.0_000,atr_channel_breakout_grid_14_10_2.0,atr_channel_breakout,low_vol_bearish,205,-0.0099,0.1726,-0.906,-2.02,42.0
atr_channel_breakout_atr_channel_breakout_grid_14_10_2.0_000,atr_channel_breakout_grid_14_10_2.0,atr_channel_breakout,neutral,205,-0.0014,0.0121,-1.811,-0.28,2.4
atr_channel_breakout_atr_channel_breakout_grid_14_10_2.5_000,atr_channel_breakout_grid_14_10_2.5,atr_channel_breakout,low_vol_bullish,205,0.0044,0.05,1.405,0.91,35.6
atr_channel_breakout_atr_channel_breakout_grid_14_10_2.5_000,atr_channel_breakout_grid_14_10_2.5,atr_channel_breakout,low_vol_bearish,205,-0.0065,0.1011,-1.014,-1.32,30.2
atr_channel_breakout_atr_channel_breakout_grid_14_10_2.5_000,atr_channel_breakout_grid_14_10_2.5,atr_channel_breakout,neutral,205,-0.0011,0.0093,-1.787,-0.22,1.0
atr_channel_breakout_atr_channel_breakout_grid_14_20_1.5_000,atr_channel_breakout_grid_14_20_1.5,atr_channel_breakout,low_vol_bullish,205,0.0285,0.3366,1.343,5.84,59.0
atr_channel_breakout_atr_channel_breakout_grid_14_20_1.5_000,atr_channel_breakout_grid_14_20_1.5,atr_channel_breakout,low_vol_bearish,205,0.0131,0.3496,0.594,2.68,49.8
atr_channel_breakout_atr_channel_breakout_grid_14_20_1.5_000,atr_channel_breakout_grid_14_20_1.5,atr_channel_breakout,neutral,205,-0.0006,0.0271,-0.376,-0.13,7.8
atr_channel_breakout_atr_channel_breakout_grid_14_20_2.0_000,atr_channel_breakout_grid_14_20_2.0,atr_channel_breakout,low_vol_bearish,205,-0.0134,0.3099,-0.685,-2.74,47.8
atr_channel_breakout_atr_channel_breakout_grid_14_20_2.0_000,atr_channel_breakout_grid_14_20_2.0,atr_channel_breakout,neutral,205,-0.0001,0.0229,-0.06,-0.02,5.9
atr_channel_breakout_atr_channel_breakout_grid_14_20_2.0_000,atr_channel_breakout_grid_14_20_2.0,atr_channel_breakout,low_vol_bullish,205,0.0363,0.3138,1.839,7.45,53.7
atr_channel_breakout_atr_channel_breakout_grid_14_20_2.5_000,atr_channel_breakout_grid_14_20_2.5,atr_channel_breakout,low_vol_bullish,205,0.0092,0.2344,0.625,1.89,50.2
atr_channel_breakout_atr_channel_breakout_grid_14_20_2.5_000,atr_channel_breakout_grid_14_20_2.5,atr_channel_breakout,low_vol_bearish,205,-0.0279,0.2659,-1.665,-5.72,42.9
atr_channel_breakout_atr_channel_breakout_grid_14_20_2.5_000,atr_channel_breakout_grid_14_20_2.5,atr_channel_breakout,neutral,205,-0.0009,0.0196,-0.706,-0.18,3.9
atr_channel_breakout_atr_channel_breakout_grid_14_30_1.5_000,atr_channel_breakout_grid_14_30_1.5,atr_channel_breakout,low_vol_bullish,205,0.047,0.3865,1.931,9.64,54.6
atr_channel_breakout_atr_channel_breakout_grid_14_30_1.5_000,atr_channel_breakout_grid_14_30_1.5,atr_channel_breakout,low_vol_bearish,205,-0.0105,0.4447,-0.376,-2.16,50.2
atr_channel_breakout_atr_channel_breakout_grid_14_30_1.5_000,atr_channel_breakout_grid_14_30_1.5,atr_channel_breakout,neutral,205,0.0005,0.028,0.264,0.1,19.0
