strategy_hash,strategy_type,sharpe_ratio,total_return,win_rate,avg_return_per_trade,num_trades,total_execution_cost
e8fc96c15ce2,bollinger_bands,-13.042619983306059,-0.5975121101975114,0.14912365177195686,-0.0002095063499991274,2852,0.2852
ede5e6f58198,bollinger_bands,-24.042823655092974,-0.7330795495338787,0.08720146379044684,-0.00028469108719762277,2575,0.2575
046228e4e54b,bollinger_bands,-48.297077175447946,-0.8441843763457003,0.038376348228043144,-0.0005336184426963971,1582,0.1582
93cba16200b6,bollinger_bands,-94.38150103549467,-0.9134775960725057,0.013723035439137134,-0.0012019442053585602,760,0.076
1b485e663a59,bollinger_bands,-175.51671619946055,-0.9489827503732904,0.005200308166409861,-0.0026656818830710404,356,0.0356
c249cef528fb,bollinger_bands,-12.309621130922457,-0.5790378563841326,0.15230161787365176,-0.00020475171725040052,2828,0.2828
b3bc478985c8,bollinger_bands,-23.44556460396212,-0.7244602996271585,0.08787557781201849,-0.0002860088036427787,2533,0.2533
cc91a898fba5,bollinger_bands,-46.6432666915254,-0.8341947477078213,0.03953197226502311,-0.0005326914097751094,1566,0.15660000000000002
a0135f1061c2,bollinger_bands,-90.21360288005859,-0.908080174604138,0.014252696456086287,-0.0011702064105723429,776,0.0776
2d276ef09977,bollinger_bands,-170.83239164580684,-0.9464260646888354,0.005441063174114021,-0.002530550975103838,374,0.0374
b018a6fd2f3b,bollinger_bands,-11.751952405556858,-0.5656844604013282,0.15398690292758088,-0.00020231919184596862,2796,0.2796
9998eed964f5,bollinger_bands,-23.100380109153274,-0.7192840432199004,0.08922380585516179,-0.00028588395994431654,2516,0.2516
a2e4b74d4249,bollinger_bands,-44.660400960250946,-0.824122215026866,0.0401097842835131,-0.0005379387826546123,1532,0.1532
834bed6f6b13,bollinger_bands,-87.36286226003453,-0.902426589049382,0.01454160246533128,-0.0011599313483925218,778,0.07780000000000001
0ed948707371,bollinger_bands,-155.75230782548275,-0.943972812177781,0.005826271186440678,-0.0024455254201496916,386,0.0386
aee7e28d2d29,bollinger_bands,-11.193796204518922,-0.548679935091346,0.15543143297380585,-0.00019944745005137987,2751,0.2751
8722b4247191,bollinger_bands,-22.292722912397583,-0.7097280124589241,0.09114984591679506,-0.00028287286267792913,2509,0.2509
f69c71178b53,bollinger_bands,-42.89229075001126,-0.8188617109393471,0.040494992295839756,-0.0005387248098285178,1520,0.152
7f947d4b463c,bollinger_bands,-82.4718698698463,-0.8956768286948601,0.014974961479198768,-0.001148303626531872,780,0.078
0a778eb7bcce,bollinger_bands,-144.29122954994708,-0.9385995881511298,0.0060188751926040064,-0.002419071103482293,388,0.0388
916f54433143,bollinger_bands,-10.8344823295511,-0.5398988101912617,0.15750192604006163,-0.00019754804617316566,2733,0.2733
bff1964a1e5d,bollinger_bands,-21.548964580561215,-0.6993290080325743,0.09278697996918336,-0.00028210125374448337,2479,0.2479
8c513a0e511c,bollinger_bands,-41.35156515769519,-0.8124396014395054,0.0413135593220339,-0.0005330968513382582,1524,0.1524
a844edc0133c,bollinger_bands,-78.98789619084026,-0.8886528798830228,0.015552773497688752,-0.0011392985639525934,780,0.078
8617e749fbb7,bollinger_bands,-139.6093508229772,-0.9346946769105459,0.0061633281972265025,-0.002459722833975121,380,0.038
99ba9aeafcd7,bollinger_bands,-10.554882436470427,-0.5313845068496768,0.1604872881355932,-0.0001957217336462898,2715,0.2715
00c46ab7a34d,bollinger_bands,-21.23663550567969,-0.694503547999225,0.09341294298921418,-0.0002842830732702517,2443,0.24430000000000002
cb819834437d,bollinger_bands,-40.03188261554203,-0.80687201600566,0.0413135593220339,-0.0005386328544764086,1498,0.14980000000000002
95e25a4feb8e,bollinger_bands,-77.67965653856511,-0.8850530064884655,0.01574537750385208,-0.0011174911698086686,792,0.0792
f7bf3891057b,bollinger_bands,-134.4148966755425,-0.9320537170020909,0.006644838212634823,-0.002341843510055505,398,0.0398
569295355819,bollinger_bands,-10.518143909109398,-0.529806401769938,0.16188366718027736,-0.00019688086279076106,2691,0.2691
e39754500c70,bollinger_bands,-20.707760957098984,-0.6890256709993293,0.09447226502311248,-0.000285547314960352,2413,0.24130000000000001
ba3731f3d147,bollinger_bands,-39.67180724690606,-0.8049566734367261,0.042035824345146376,-0.0005323787522729669,1512,0.1512
3e6c81c24d71,bollinger_bands,-74.222871701217,-0.8781124752761399,0.016275038520801234,-0.0011229059786139895,782,0.0782
e23f73a1a999,bollinger_bands,-131.39449649508907,-0.9284870921353177,0.006789291217257319,-0.002286914020037728,406,0.040600000000000004
09ec9f49753c,bollinger_bands,-10.206974617764786,-0.5201921617723675,0.1645319722650231,-0.00019439168975051102,2676,0.2676
13aea1255ea7,bollinger_bands,-20.499207630898574,-0.6867658927412177,0.09567604006163329,-0.0002850833925866408,2409,0.2409
1941bec06c3a,bollinger_bands,-38.390184618200465,-0.7994152960128742,0.0425173343605547,-0.0005329435306752494,1500,0.15
1d7a3e053fd6,bollinger_bands,-71.23025158589265,-0.868895895619365,0.016804699537750385,-0.0011168327707189781,778,0.07780000000000001
f323d58803c3,bollinger_bands,-128.56718569893616,-0.9254193208918626,0.0069818952234206475,-0.0022793579332311886,406,0.040600000000000004
203fc1421563,bollinger_bands,-9.997856477326584,-0.5130492943927962,0.16650616332819723,-0.00019529855134860916,2627,0.2627
9fd39ed6212b,bollinger_bands,-19.864711448615708,-0.6772619766753071,0.09673536209553159,-0.0002888110774734785,2345,0.23450000000000001
