stop_pct,target_pct,regime,num_trades,total_return,sharpe_ratio,win_rate,stop_hits,target_hits,avg_duration,strategy,period,std_dev,strategy_hash
0.1,0.15,Overall,1032,-0.10008175375924866,-5.192670765184598,0.39728682170542634,11.24031007751938,7.848837209302325,1.2936046511627908,P22_S2.5,22,2.5,001ba042
0.1,0.15,Low Vol,276,-0.04055972744796532,-4.742827317672039,0.4057971014492754,0.0,0.0,1.3876811594202898,P22_S2.5,22,2.5,001ba042
0.1,0.15,Medium Vol,358,-0.03667235977106087,-3.165918955263587,0.39106145251396646,0.0,0.0,1.3072625698324023,P22_S2.5,22,2.5,001ba042
0.1,0.15,High Vol,394,-0.024959079442225085,-1.8065708282517035,0.39847715736040606,0.0,0.0,1.2081218274111676,P22_S2.5,22,2.5,001ba042
0.1,0.15,Trending Up,96,-0.021776519861301913,-3.231886541200469,0.3125,0.0,0.0,1.3229166666666667,P22_S2.5,22,2.5,001ba042
0.1,0.15,Trending Down,109,0.009593030369374311,1.2138263201480721,0.5137614678899083,0.0,0.0,1.128440366972477,P22_S2.5,22,2.5,001ba042
0.1,0.15,Ranging,827,-0.08878967797332582,-5.381342539248002,0.39177750906892383,0.0,0.0,1.3119709794437726,P22_S2.5,22,2.5,001ba042
0.1,0.2,Overall,1032,-0.14681382300335277,-7.979545948641295,0.374031007751938,12.4031007751938,3.003875968992248,1.3556201550387597,P22_S2.5,22,2.5,001ba042
0.1,0.2,Low Vol,276,-0.051367674997438995,-6.293995247397857,0.38405797101449274,0.0,0.0,1.4275362318840579,P22_S2.5,22,2.5,001ba042
0.1,0.2,Medium Vol,358,-0.05295849293967858,-4.717051768249523,0.3743016759776536,0.0,0.0,1.3603351955307263,P22_S2.5,22,2.5,001ba042
0.1,0.2,High Vol,394,-0.04898223826171655,-3.626993529635986,0.3680203045685279,0.0,0.0,1.2944162436548223,P22_S2.5,22,2.5,001ba042
0.1,0.2,Trending Up,96,-0.02410391953850155,-3.5286613631027777,0.2916666666666667,0.0,0.0,1.3854166666666667,P22_S2.5,22,2.5,001ba042
0.1,0.2,Trending Down,109,0.000726853616445089,0.09075185916292462,0.46788990825688076,0.0,0.0,1.201834862385321,P22_S2.5,22,2.5,001ba042
0.1,0.2,Ranging,827,-0.1263757452946327,-8.151944620887484,0.37122128174123337,0.0,0.0,1.3724304715840387,P22_S2.5,22,2.5,001ba042
0.0,0.0,Overall,1032,-0.17588293006596045,-9.832637749049152,0.37790697674418605,0.0,0.0,1.5823643410852712,P22_S2.5,22,2.5,001ba042
0.0,0.0,Low Vol,276,-0.04508621846842198,-5.945654994774145,0.39855072463768115,0.0,0.0,1.536231884057971,P22_S2.5,22,2.5,001ba042
0.0,0.0,Medium Vol,358,-0.06029637817384037,-5.8821092585191534,0.38268156424581007,0.0,0.0,1.5782122905027933,P22_S2.5,22,2.5,001ba042
0.0,0.0,High Vol,394,-0.08069088915413136,-5.738521127647533,0.3604060913705584,0.0,0.0,1.614213197969543,P22_S2.5,22,2.5,001ba042
0.0,0.0,Trending Up,96,-0.024343569365836704,-3.7838544673873704,0.3229166666666667,0.0,0.0,1.8333333333333333,P22_S2.5,22,2.5,001ba042
0.0,0.0,Trending Down,109,-0.01720642951298479,-2.5018369789849557,0.43119266055045874,0.0,0.0,1.4862385321100917,P22_S2.5,22,2.5,001ba042
0.0,0.0,Ranging,827,-0.14053203908339174,-8.790421022350547,0.37726723095526,0.0,0.0,1.56590084643289,P22_S2.5,22,2.5,001ba042
0.03,0.05,Overall,1030,0.12131074013367016,10.453797912397691,0.7631067961165049,23.300970873786408,76.11650485436893,0.03203883495145631,P5_S1.0,5,1.0,975873db
0.03,0.05,Low Vol,125,0.006881318241533041,1.6664906813753302,0.688,0.0,0.0,0.112,P5_S1.0,5,1.0,975873db
0.03,0.05,Medium Vol,315,0.027654584811438898,4.306972897083563,0.7333333333333333,0.0,0.0,0.022222222222222223,P5_S1.0,5,1.0,975873db
0.03,0.05,High Vol,588,0.08389563548221024,10.253323680388359,0.7959183673469388,0.0,0.0,0.02040816326530612,P5_S1.0,5,1.0,975873db
0.03,0.05,Trending Up,122,0.011875492540168064,3.035943591275432,0.7459016393442623,0.0,0.0,0.01639344262295082,P5_S1.0,5,1.0,975873db
0.03,0.05,Trending Down,248,0.039963191773589646,8.064610973799775,0.8225806451612904,0.0,0.0,0.016129032258064516,P5_S1.0,5,1.0,975873db
0.03,0.05,Ranging,660,0.0655674269292561,7.068569116170341,0.7439393939393939,0.0,0.0,0.04090909090909091,P5_S1.0,5,1.0,975873db
0.05,0.075,Overall,1030,0.36861172320044555,20.562561901929353,0.7970873786407767,16.116504854368934,76.40776699029126,0.18349514563106797,P5_S1.0,5,1.0,975873db
0.05,0.075,Low Vol,125,0.030400758229355507,5.306353492713008,0.744,0.0,0.0,0.376,P5_S1.0,5,1.0,975873db
0.05,0.075,Medium Vol,315,0.07971081442763861,8.24671742008304,0.7523809523809524,0.0,0.0,0.19682539682539682,P5_S1.0,5,1.0,975873db
0.05,0.075,High Vol,588,0.22957891170479727,19.547911365578614,0.8333333333333334,0.0,0.0,0.1326530612244898,P5_S1.0,5,1.0,975873db
0.05,0.075,Trending Up,122,0.03797634248852311,6.997745856467155,0.8032786885245902,0.0,0.0,0.11475409836065574,P5_S1.0,5,1.0,975873db
0.05,0.075,Trending Down,248,0.09666434992870632,14.261958380052535,0.8508064516129032,0.0,0.0,0.1532258064516129,P5_S1.0,5,1.0,975873db
0.05,0.075,Ranging,660,0.20231724075436497,14.499023649592132,0.7757575757575758,0.0,0.0,0.20757575757575758,P5_S1.0,5,1.0,975873db
0.05,0.1,Overall,1030,0.34633765423073637,14.470152520404284,0.6621359223300971,22.52427184466019,56.310679611650485,0.3941747572815534,P5_S1.0,5,1.0,975873db
0.05,0.1,Low Vol,125,0.025716662112146738,3.552153664935571,0.608,0.0,0.0,0.608,P5_S1.0,5,1.0,975873db
0.05,0.1,Medium Vol,315,0.06205454686681322,5.046942369807809,0.6031746031746031,0.0,0.0,0.41904761904761906,P5_S1.0,5,1.0,975873db
0.05,0.1,High Vol,588,0.23615893801185917,14.217736235438352,0.7074829931972789,0.0,0.0,0.3299319727891156,P5_S1.0,5,1.0,975873db
0.05,0.1,Trending Up,122,0.040702466073396115,5.487204523400497,0.6885245901639344,0.0,0.0,0.2786885245901639,P5_S1.0,5,1.0,975873db
0.05,0.1,Trending Down,248,0.10699964672234152,11.06878809573366,0.7459677419354839,0.0,0.0,0.3387096774193548,P5_S1.0,5,1.0,975873db
0.05,0.1,Ranging,660,0.1686377911101955,9.310059394355493,0.6257575757575757,0.0,0.0,0.43636363636363634,P5_S1.0,5,1.0,975873db
