strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,profit_factor,total_execution_cost,pf_bin
SPY_1m_strategy_90,8c513a0e511c,bollinger_bands,SPY_1m,1m,,27,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_90.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_91,a844edc0133c,bollinger_bands,SPY_1m,1m,,27,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_91.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_92,99ba9aeafcd7,bollinger_bands,SPY_1m,1m,,28,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_92.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_93,00c46ab7a34d,bollinger_bands,SPY_1m,1m,,28,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_93.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_94,cb819834437d,bollinger_bands,SPY_1m,1m,,28,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_94.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_95,95e25a4feb8e,bollinger_bands,SPY_1m,1m,,28,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_95.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_96,569295355819,bollinger_bands,SPY_1m,1m,,29,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_96.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_97,e39754500c70,bollinger_bands,SPY_1m,1m,,29,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_97.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_98,ba3731f3d147,bollinger_bands,SPY_1m,1m,,29,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_98.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_99,3e6c81c24d71,bollinger_bands,SPY_1m,1m,,29,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_99.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_100,09ec9f49753c,bollinger_bands,SPY_1m,1m,,30,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_100.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_101,13aea1255ea7,bollinger_bands,SPY_1m,1m,,30,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_101.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_102,1941bec06c3a,bollinger_bands,SPY_1m,1m,,30,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_102.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_103,1d7a3e053fd6,bollinger_bands,SPY_1m,1m,,30,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_103.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_104,203fc1421563,bollinger_bands,SPY_1m,1m,,31,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_104.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_105,9fd39ed6212b,bollinger_bands,SPY_1m,1m,,31,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_105.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_106,11129fcb7fa5,bollinger_bands,SPY_1m,1m,,31,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_106.parquet,0,0,0,0,0,0,0,0,
