strategy_hash,strategy_type,original_sharpe,original_return,original_win_rate,original_avg_return,optimal_stop,optimal_target,optimal_sharpe,optimal_return,optimal_win_rate,optimal_avg_return,sharpe_improvement,return_improvement,win_rate_change,avg_return_change,num_trades,period,std_dev
fff5e7d20b65,bollinger_bands,-2.2063180320357465,-0.14625615271306946,0.6006216006216006,-0.00012125131456111977,0.25,0.5,-1.411389970337056,-0.06607897140503927,0.5944055944055944,-5.238892752796856e-05,0.7949280616986905,0.0801771813080302,-0.006216006216006265,6.886238703315121e-05,1287,32,1.5
d55aece22ad2,bollinger_bands,-1.878609111990271,-0.09179584695333964,0.5873850197109067,-0.00012513032061611492,0.2,0.4,-1.3926186176071556,-0.0471647181392878,0.5755584756898817,-6.284823440143323e-05,0.4859904943831155,0.044631128814051846,-0.01182654402102501,6.228208621468169e-05,761,32,2.0
d39dbfbbb6ae,bollinger_bands,-1.435982009482968,-0.045619913593408445,0.537712895377129,-0.00011256749388000754,0.2,0.4,-1.1838836385755598,-0.030682225740943037,0.5352798053527981,-7.513950310607083e-05,0.2520983709074083,0.014937687852465409,-0.0024330900243308973,3.742799077393671e-05,411,32,2.5
106f5e37af28,bollinger_bands,-0.8967608041839562,-0.0210506983057811,0.5172413793103449,-0.00010369105529814645,0.2,0.4,-0.8215424864052782,-0.015280028784127153,0.5172413793103449,-7.515225516572456e-05,0.07521831777867805,0.005770669521653948,0.0,2.8538800132421897e-05,203,32,3.0
d758885db870,bollinger_bands,-1.7164341127641032,-0.13336619583390108,0.6517379679144385,-9.383161168944281e-05,0.5,1.0,-1.495795760483151,-0.1004540070511869,0.6517379679144385,-6.94379679818826e-05,0.22063835228095208,0.03291218878271418,0.0,2.4393643707560205e-05,1496,33,1.0
e8078f937503,bollinger_bands,-2.2306969043568237,-0.1496194920279028,0.6098726114649682,-0.00012734073558109244,0.25,0.5,-1.4579747990849365,-0.06865998376395521,0.6027070063694268,-5.587388133637723e-05,0.7727221052718871,0.0809595082639476,-0.0071656050955414274,7.14668542447152e-05,1256,33,1.5
702487ba1156,bollinger_bands,-2.202417040671864,-0.10685495216197871,0.5936254980079682,-0.00014865382051300292,0.2,0.4,-1.6283650585803022,-0.05432178264051879,0.5816733067729084,-7.354060694541139e-05,0.5740519820915619,0.05253316952145992,-0.01195219123505975,7.511321356759153e-05,753,33,2.0
fa1bf8b05174,bollinger_bands,-1.2629376665125536,-0.04073718284133898,0.5414634146341464,-0.00010037312852246289,0.2,0.4,-0.9553929733194128,-0.02549950815652413,0.5390243902439025,-6.228357212284737e-05,0.3075446931931408,0.01523767468481485,-0.0024390243902439046,3.8089556399615516e-05,410,33,2.5
d31ea79e7946,bollinger_bands,-1.2869755716544828,-0.03060926045866763,0.5175879396984925,-0.00015502665926158497,0.2,0.4,-1.0594988636403067,-0.018937785617752168,0.5175879396984925,-9.541064113317488e-05,0.2274767080141762,0.011671474840915463,0.0,5.961601812841009e-05,199,33,3.0
67e6717e7708,bollinger_bands,-1.6543031368279526,-0.1302123980128822,0.6596180081855388,-9.323553303006866e-05,0.25,0.5,-1.3375795647382591,-0.0757147207795148,0.645293315143247,-5.276882068028652e-05,0.3167235720896935,0.0544976772333674,-0.014324693042291892,4.046671234978214e-05,1466,34,1.0
22cfbee2a806,bollinger_bands,-2.0602571857280543,-0.1377432495126425,0.615321923390383,-0.00011908565284077459,0.25,0.5,-1.3105186246760616,-0.061812897734178085,0.6071719641401793,-5.123034210846132e-05,0.7497385610519927,0.07593035177846441,-0.008149959250203787,6.785531073231327e-05,1227,34,1.5
05f08270acc6,bollinger_bands,-2.1726022118676394,-0.10760464017158378,0.6019021739130435,-0.00015316653551153875,0.2,0.4,-1.4166382153801342,-0.04724244822292967,0.5896739130434783,-6.511334326468779e-05,0.7559639964875051,0.06036219194865411,-0.012228260869565188,8.805319224685096e-05,736,34,2.0
ea897ab3a2f1,bollinger_bands,-1.2686284415511682,-0.04205208129714888,0.5522388059701493,-0.00010572051264455239,0.2,0.4,-0.8952880453044151,-0.024089638041647654,0.5472636815920398,-5.991734075074632e-05,0.3733403962467531,0.017962443255501226,-0.004975124378109541,4.580317189380607e-05,402,34,2.5
1c3a4e70fe49,bollinger_bands,-1.4154180168656454,-0.033538874095990656,0.51,-0.0001693862129702689,0.2,0.4,-1.0755758916656284,-0.01912302770418417,0.51,-9.588437427147527e-05,0.339842125200017,0.014415846391806486,0.0,7.350183869879364e-05,200,34,3.0
a09b0b058df0,bollinger_bands,-1.63998976230224,-0.1297335526202722,0.6596035543403964,-9.303316864180941e-05,0.25,0.5,-1.1721094021160143,-0.06630177552714178,0.644565960355434,-4.596643351325556e-05,0.4678803601862256,0.06343177709313041,-0.015037593984962405,4.706673512855385e-05,1463,35,1.0
d7fe20354dcb,bollinger_bands,-1.9705336819790602,-0.13091815205116164,0.6201680672268908,-0.00011620004202009246,0.25,0.5,-1.3357158474905404,-0.06242473265947546,0.611764705882353,-5.338468174121408e-05,0.6348178344885198,0.06849341939168618,-0.008403361344537785,6.281536027887837e-05,1190,35,1.5
6b1245c82ce5,bollinger_bands,-2.333770908957322,-0.11460591709841517,0.5872576177285319,-0.00016705616623229348,0.2,0.4,-1.5135872980493004,-0.05069472114048412,0.5761772853185596,-7.139452563855584e-05,0.8201836109080218,0.06391119595793104,-0.011080332409972304,9.566164059373765e-05,722,35,2.0
61c557a6d032,bollinger_bands,-1.3130058445307207,-0.04429916387524535,0.551980198019802,-0.00011096540370055133,0.2,0.4,-0.9911758342568694,-0.02692720419625383,0.5445544554455446,-6.680980057898579e-05,0.3218300102738513,0.017371959678991522,-0.007425742574257432,4.415560312156555e-05,404,35,2.5
3f89f6cc6584,bollinger_bands,-1.5282615390528966,-0.035995262467596434,0.5024875621890548,-0.00018121219410885818,0.2,0.4,-1.265050381935622,-0.02253613235562446,0.5024875621890548,-0.0001127412877735288,0.2632111571172746,0.013459130111971973,0.0,6.847090633532938e-05,201,35,3.0
7a965b138401,bollinger_bands,-1.6568253058135478,-0.13041619377007307,0.6585535465924895,-9.521305396274913e-05,0.25,0.5,-1.249101467323711,-0.07035895480791376,0.6432545201668984,-4.979534727464467e-05,0.40772383848983673,0.06005723896215931,-0.015299026425591111,4.541770668810446e-05,1438,36,1.0
cb821ff2857a,bollinger_bands,-1.9503233341849604,-0.1298285109723446,0.6258445945945946,-0.00011572670324194654,0.25,0.5,-1.3200191304832736,-0.062013076218394025,0.6173986486486487,-5.327698401854997e-05,0.6303042037016868,0.06781543475395058,-0.008445945945945943,6.244971922339656e-05,1184,36,1.5
4b493028d443,bollinger_bands,-2.198205641448147,-0.10781088185199039,0.5848275862068966,-0.00015583814981032207,0.2,0.4,-1.4956432521341783,-0.05026729576350275,0.5724137931034483,-7.047418028995301e-05,0.7025623893139685,0.05754358608848764,-0.012413793103448256,8.536396952036906e-05,725,36,2.0
fa5d65af43e5,bollinger_bands,-1.2798666905888878,-0.043873369509355054,0.5700245700245701,-0.00010901679167237249,0.2,0.4,-0.7551526131212737,-0.020660478294778906,0.5626535626535627,-5.05449964427682e-05,0.5247140774676141,0.023212891214576148,-0.0073710073710073765,5.847179522960429e-05,407,36,2.5
dca305200c6f,bollinger_bands,-1.559213800180713,-0.036954944189302785,0.4975845410628019,-0.00018075534682693447,0.2,0.4,-1.2917156164081174,-0.023391641049282152,0.4975845410628019,-0.0001136813479401386,0.2674981837725956,0.013563303140020633,0.0,6.707399888679587e-05,207,36,3.0
52acf43d5a97,bollinger_bands,-1.6464372793478905,-0.13046931718342347,0.6598447424135497,-9.664140809043926e-05,0.25,0.5,-1.1843730343161312,-0.06700254245926562,0.6436132674664785,-4.798723164672077e-05,0.46206424503175936,0.06346677472415785,-0.016231474947071223,4.8654176443718494e-05,1417,37,1.0
911d853b7980,bollinger_bands,-2.0885542071561223,-0.13834342953894274,0.615916955017301,-0.00012703229999795225,0.2,0.4,-1.7413049003828893,-0.0752540968022195,0.5977508650519031,-6.697414167212804e-05,0.34724930677323296,0.06308933273672324,-0.018166089965397925,6.005815832582421e-05,1156,37,1.5
ea707c55ba0f,bollinger_bands,-2.1923092510693065,-0.10617665304423696,0.5798319327731093,-0.0001557165440542413,0.2,0.4,-1.5799619351299445,-0.05282740772584882,0.5672268907563025,-7.534448631342496e-05,0.612347315939362,0.05334924531838814,-0.012605042016806789,8.037205774081634e-05,714,37,2.0
6613ec614cd0,bollinger_bands,-1.3627866480304827,-0.046967644246316165,0.5607940446650124,-0.00011812250768212113,0.2,0.4,-0.732013042024292,-0.01986049726710526,0.5533498759305211,-4.9034281404636286e-05,0.6307736060061907,0.027107146979210905,-0.007444168734491274,6.908822627748484e-05,403,37,2.5
9b81934ac192,bollinger_bands,-1.8254083239119259,-0.043475043604251695,0.4900990099009901,-0.0002188313041513192,0.2,0.4,-1.53835616249194,-0.02801919727700286,0.49504950495049505,-0.00013999293978451393,0.2870521614199859,0.015455846327248834,0.004950495049504955,7.883836436680528e-05,202,37,3.0
